,identifier,species_id,sprite_location,height,weight,base_experience,order,is_default,identifier_species,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id,forms_switchable,order_species,base_hp,base_attack,base_defense,base_special_attack,base_special_defense,base_speed,effort_hp,effort_attack,effort_defense,effort_special_attack,effort_special_defense,effort_speed
126,magmar,126,183,13,445,173,188,1,magmar,1,240,61,8,6,4,2,45,70,0,25,0,2,0,149,65,95,57,100,85,93,0,0,0,2,0,0
127,pinsir,127,184,15,550,175,190,1,pinsir,1,,62,3,12,2,4,45,70,0,25,0,1,1,151,65,125,100,55,70,85,0,2,0,0,0,0
10040,pinsir-mega,127,185,17,590,210,191,0,pinsir,1,,62,3,12,2,4,45,70,0,25,0,1,1,151,65,155,120,65,90,105,0,2,0,0,0,0
128,tauros,128,187,14,884,172,192,1,tauros,1,,63,3,8,3,0,45,70,0,20,0,1,0,152,75,100,95,40,70,110,0,1,0,0,0,1
129,magikarp,129,188,9,100,40,193,1,magikarp,1,,64,8,3,9,4,255,70,0,5,1,1,0,153,20,10,55,15,20,80,0,0,0,0,0,1
130,gyarados,130,189,65,2350,189,194,1,gyarados,1,129,64,2,2,9,4,45,70,0,5,1,1,1,154,95,125,79,60,100,81,0,2,0,0,0,0
10041,gyarados-mega,130,190,65,3050,224,195,0,gyarados,1,129,64,2,2,9,4,45,70,0,5,1,1,1,154,95,155,109,70,130,81,0,2,0,0,0,0
131,lapras,131,191,25,2200,187,196,1,lapras,1,,65,2,3,7,4,45,70,0,40,0,1,0,155,130,85,80,85,95,60,2,0,0,0,0,0
132,ditto,132,192,3,40,101,197,1,ditto,1,,66,7,1,8,-1,35,70,0,20,0,2,0,156,48,48,48,48,48,48,1,0,0,0,0,0
133,eevee,133,193,3,65,65,198,1,eevee,1,,67,3,8,8,1,45,70,0,35,0,2,0,157,55,55,50,45,65,55,0,0,0,0,1,0
134,vaporeon,134,195,10,290,184,199,1,vaporeon,1,133,67,2,8,8,1,45,70,0,35,0,2,0,158,130,65,60,110,95,65,2,0,0,0,0,0
135,jolteon,135,197,8,245,184,200,1,jolteon,1,133,67,10,8,8,1,45,70,0,35,0,2,0,159,65,65,60,110,95,130,0,0,0,0,0,2
136,flareon,136,198,9,250,184,201,1,flareon,1,133,67,8,8,8,1,45,70,0,35,0,2,0,160,65,130,60,95,110,65,0,2,0,0,0,0
137,porygon,137,199,8,365,79,207,1,porygon,1,,68,6,7,8,-1,45,70,0,20,0,2,0,166,65,60,70,85,75,40,0,0,0,1,0,0
138,omanyte,138,200,4,75,71,210,1,omanyte,1,,69,2,10,7,1,45,70,0,30,0,2,0,169,35,40,100,90,55,35,0,0,1,0,0,0
139,omastar,139,201,10,350,173,211,1,omastar,1,138,69,2,10,7,1,45,70,0,30,0,2,0,170,70,60,125,115,70,55,0,0,2,0,0,0
140,kabuto,140,202,5,115,71,212,1,kabuto,1,,70,3,14,7,1,45,70,0,30,0,2,0,171,30,80,90,55,45,55,0,0,1,0,0,0
141,kabutops,141,203,13,405,173,213,1,kabutops,1,140,70,3,6,7,1,45,70,0,30,0,2,0,172,60,115,105,65,70,80,0,2,0,0,0,0
142,aerodactyl,142,204,18,590,180,214,1,aerodactyl,1,,71,7,9,4,1,45,70,0,35,0,1,1,173,80,105,65,60,75,130,0,0,0,0,0,2
10042,aerodactyl-mega,142,205,21,790,215,215,0,aerodactyl,1,,71,7,9,4,1,45,70,0,35,0,1,1,173,80,135,85,70,95,150,0,0,0,0,0,2
143,snorlax,143,206,21,4600,189,217,1,snorlax,1,446,72,1,12,4,1,25,70,0,40,0,1,0,175,160,110,65,65,110,30,2,0,0,0,0,0
144,articuno,144,207,17,554,261,218,1,articuno,1,,73,2,9,5,-1,3,35,0,80,0,1,0,176,90,85,100,95,125,85,0,0,0,0,3,0
145,zapdos,145,208,16,526,261,219,1,zapdos,1,,74,10,9,5,-1,3,35,0,80,0,1,0,177,90,90,85,125,90,100,0,0,0,3,0,0
146,moltres,146,209,20,600,261,220,1,moltres,1,,75,10,9,5,-1,3,35,0,80,0,1,0,178,90,100,90,125,85,90,0,0,0,3,0,0
147,dratini,147,210,18,33,60,221,1,dratini,1,,76,2,2,9,4,45,35,0,40,0,1,0,179,41,64,45,50,50,50,0,1,0,0,0,0
148,dragonair,148,211,40,165,147,222,1,dragonair,1,147,76,2,2,9,4,45,35,0,40,0,1,0,180,61,84,65,70,70,70,0,2,0,0,0,0
149,dragonite,149,212,22,2100,270,223,1,dragonite,1,148,76,3,6,9,4,45,35,0,40,0,1,0,181,91,134,95,100,100,80,0,3,0,0,0,0
150,mewtwo,150,213,20,1220,306,224,1,mewtwo,1,,77,7,6,5,-1,3,0,0,120,0,1,1,182,106,110,90,154,90,130,0,0,0,3,0,0
10043,mewtwo-mega-x,150,214,23,1270,351,225,0,mewtwo,1,,77,7,6,5,-1,3,0,0,120,0,1,1,182,106,190,100,154,100,130,0,0,0,3,0,0
10044,mewtwo-mega-y,150,215,15,330,351,226,0,mewtwo,1,,77,7,6,5,-1,3,0,0,120,0,1,1,182,106,150,70,194,120,140,0,0,0,3,0,0
151,mew,151,216,4,40,270,227,1,mew,1,,78,6,6,5,-1,45,100,0,120,0,4,0,183,100,100,100,100,100,100,3,0,0,0,0,0
172,pichu,172,217,3,20,41,34,1,pichu,2,,10,10,8,2,4,190,70,1,10,0,2,0,25,20,40,15,35,35,60,0,0,0,0,0,1
173,cleffa,173,218,3,30,44,55,1,cleffa,2,,14,6,6,4,6,150,140,1,10,0,3,0,36,50,25,28,45,55,15,0,0,0,0,1,0
174,igglybuff,174,219,3,10,42,62,1,igglybuff,2,,16,6,12,3,6,170,70,1,10,0,3,0,41,90,30,15,40,20,15,1,0,0,0,0,0
169,crobat,169,220,18,750,241,67,1,crobat,2,42,17,7,13,1,4,90,70,0,15,0,2,0,46,85,90,80,70,80,130,0,0,0,0,0,3
182,bellossom,182,221,4,58,221,71,1,bellossom,2,44,18,5,12,3,4,45,70,0,20,0,4,0,50,75,80,95,90,100,50,0,0,0,0,3,0
186,politoed,186,,11,339,225,93,1,politoed,2,61,26,5,12,9,4,45,70,0,20,1,4,0,68,90,75,75,90,100,70,0,0,0,0,3,0
199,slowking,199,,20,795,172,117,1,slowking,2,79,33,6,6,9,4,70,70,0,20,0,2,0,87,95,75,80,100,110,30,0,0,0,0,3,0
208,steelix,208,,92,4000,179,137,1,steelix,2,95,41,4,2,1,4,25,70,0,25,1,2,1,104,75,85,200,55,65,30,0,0,2,0,0,0
10072,steelix-mega,208,,105,7400,214,138,0,steelix,2,95,41,4,2,1,4,25,70,0,25,1,2,1,104,75,125,230,55,95,30,0,0,2,0,0,0
236,tyrogue,236,,7,210,42,152,1,tyrogue,2,,47,7,12,8,0,75,70,1,25,0,2,0,115,35,35,35,35,35,35,0,1,0,0,0,0
237,hitmontop,237,,14,480,159,155,1,hitmontop,2,236,47,3,6,8,0,45,70,0,25,0,2,0,118,50,95,95,35,110,70,0,0,0,0,2,0
242,blissey,242,,15,468,608,165,1,blissey,2,113,51,6,12,8,8,30,140,0,40,0,3,0,128,255,10,10,75,135,55,3,0,0,0,0,0
230,kingdra,230,,18,1520,243,172,1,kingdra,2,117,54,2,5,7,4,45,70,0,20,0,2,0,134,75,95,95,95,95,85,0,1,0,1,1,0
212,scizor,212,,18,1180,175,180,1,scizor,2,123,58,8,13,3,4,25,70,0,25,1,2,1,142,70,130,100,55,80,65,0,2,0,0,0,0
10046,scizor-mega,212,,20,1250,210,181,0,scizor,2,123,58,8,13,3,4,25,70,0,25,1,2,1,142,70,150,140,65,100,75,0,2,0,0,0,0
238,smoochum,238,,4,60,61,182,1,smoochum,2,,59,6,12,8,8,45,70,1,25,0,2,0,143,45,30,15,85,65,65,0,0,0,1,0,0
239,elekid,239,,6,235,72,184,1,elekid,2,,60,10,12,3,2,45,70,1,25,0,2,0,145,45,63,37,65,55,95,0,0,0,0,0,1
240,magby,240,,7,214,73,187,1,magby,2,,61,8,6,4,2,45,70,1,25,0,2,0,148,45,75,37,70,55,83,0,0,0,0,0,1
196,espeon,196,,9,265,184,202,1,espeon,2,133,67,7,8,8,1,45,70,0,35,0,2,0,161,65,65,60,130,95,110,0,0,0,2,0,0
197,umbreon,197,,10,270,184,203,1,umbreon,2,133,67,1,8,8,1,45,35,0,35,0,2,0,162,95,65,110,60,130,65,0,0,0,0,2,0
233,porygon2,233,,6,325,180,208,1,porygon2,2,137,68,8,7,8,-1,45,70,0,20,0,2,0,167,85,80,90,105,95,60,0,0,0,2,0,0
152,chikorita,152,,9,64,64,228,1,chikorita,2,,79,5,8,3,1,45,70,0,20,0,4,0,184,45,49,65,49,65,45,0,0,0,0,1,0
153,bayleef,153,,12,158,142,229,1,bayleef,2,152,79,5,8,3,1,45,70,0,20,0,4,0,185,60,62,80,63,80,60,0,0,1,0,1,0
154,meganium,154,,18,1005,236,230,1,meganium,2,153,79,5,8,3,1,45,70,0,20,1,4,0,186,80,82,100,83,100,80,0,0,1,0,2,0
155,cyndaquil,155,,5,79,62,231,1,cyndaquil,2,,80,10,12,3,1,45,70,0,20,0,4,0,187,39,52,43,60,50,65,0,0,0,0,0,1
156,quilava,156,,9,190,142,232,1,quilava,2,155,80,10,8,3,1,45,70,0,20,0,4,0,188,58,64,58,80,65,80,0,0,0,1,0,1
157,typhlosion,157,,17,795,240,233,1,typhlosion,2,156,80,10,8,3,1,45,70,0,20,0,4,0,189,78,84,78,109,85,100,0,0,0,3,0,0
158,totodile,158,,6,95,63,234,1,totodile,2,,81,2,6,9,1,45,70,0,20,0,4,0,190,50,65,64,44,48,43,0,1,0,0,0,0
159,croconaw,159,,11,250,142,235,1,croconaw,2,158,81,2,6,9,1,45,70,0,20,0,4,0,191,65,80,80,59,63,58,0,1,1,0,0,0
160,feraligatr,160,,23,888,239,236,1,feraligatr,2,159,81,2,6,9,1,45,70,0,20,0,4,0,192,85,105,100,79,83,78,0,2,1,0,0,0
161,sentret,161,,8,60,43,237,1,sentret,2,,82,3,8,3,4,255,70,0,15,0,2,0,193,35,46,34,35,45,20,0,1,0,0,0,0
162,furret,162,,18,325,145,238,1,furret,2,161,82,3,8,3,4,90,70,0,15,0,2,0,194,85,76,64,45,55,90,0,0,0,0,0,2
163,hoothoot,163,,7,212,52,239,1,hoothoot,2,,83,3,9,2,4,255,70,0,15,0,2,0,195,60,30,30,36,56,50,1,0,0,0,0,0
164,noctowl,164,,16,408,158,240,1,noctowl,2,163,83,3,9,2,4,90,70,0,15,0,2,0,196,100,50,50,86,96,70,2,0,0,0,0,0
165,ledyba,165,,10,108,53,241,1,ledyba,2,,84,8,9,2,4,255,70,0,15,1,3,0,197,40,20,30,40,80,55,0,0,0,0,1,0
166,ledian,166,,14,356,137,242,1,ledian,2,165,84,8,9,2,4,90,70,0,15,1,3,0,198,55,35,50,55,110,85,0,0,0,0,2,0
167,spinarak,167,,5,85,50,243,1,spinarak,2,,85,5,14,2,4,255,70,0,15,0,3,0,199,40,60,40,40,40,30,0,1,0,0,0,0
168,ariados,168,,11,335,140,244,1,ariados,2,167,85,8,14,2,4,90,70,0,15,0,3,0,200,70,90,70,60,70,40,0,2,0,0,0,0
170,chinchou,170,,5,120,66,245,1,chinchou,2,,86,2,3,7,4,190,70,0,20,0,1,0,201,75,38,38,56,56,67,1,0,0,0,0,0
171,lanturn,171,,12,225,161,246,1,lanturn,2,170,86,2,3,7,4,75,70,0,20,0,1,0,202,125,58,58,76,76,67,2,0,0,0,0,0
175,togepi,175,,3,15,49,247,1,togepi,2,,87,9,12,2,1,190,70,1,10,0,3,0,203,35,20,65,40,65,20,0,0,0,0,1,0
176,togetic,176,,6,32,142,248,1,togetic,2,175,87,9,12,2,1,75,70,0,10,0,3,0,204,55,40,85,80,105,40,0,0,0,0,2,0
177,natu,177,,2,20,64,250,1,natu,2,,88,5,9,2,4,190,70,0,20,0,2,0,206,40,50,45,70,45,70,0,0,0,1,0,0
178,xatu,178,,15,150,165,251,1,xatu,2,177,88,5,9,2,4,75,70,0,20,1,2,0,207,65,75,70,95,70,95,0,0,0,1,0,1
179,mareep,179,,6,78,56,252,1,mareep,2,,89,9,8,3,4,235,70,0,20,0,4,0,208,55,40,40,65,45,35,0,0,0,1,0,0
180,flaaffy,180,,8,133,128,253,1,flaaffy,2,179,89,6,6,3,4,120,70,0,20,0,4,0,209,70,55,55,80,60,45,0,0,0,2,0,0
181,ampharos,181,,14,615,230,254,1,ampharos,2,180,89,10,6,3,4,45,70,0,20,0,4,1,210,90,75,85,115,90,55,0,0,0,3,0,0
10045,ampharos-mega,181,,14,615,275,255,0,ampharos,2,180,89,10,6,3,4,45,70,0,20,0,4,1,210,90,95,105,165,110,45,0,0,0,3,0,0
183,marill,183,,4,85,88,257,1,marill,2,298,90,2,6,9,4,190,70,0,10,0,3,0,212,70,20,50,20,50,40,2,0,0,0,0,0
184,azumarill,184,,8,285,189,258,1,azumarill,2,183,90,2,6,9,4,75,70,0,10,0,3,0,213,100,50,80,60,80,50,3,0,0,0,0,0
185,sudowoodo,185,,12,380,144,260,1,sudowoodo,2,438,91,3,12,2,4,65,70,0,20,1,2,0,215,70,100,115,30,65,30,0,0,2,0,0,0
187,hoppip,187,,4,5,50,261,1,hoppip,2,,92,6,6,3,4,255,70,0,20,0,4,0,216,35,35,40,35,55,50,0,0,0,0,1,0
188,skiploom,188,,6,10,119,262,1,skiploom,2,187,92,5,6,3,4,120,70,0,20,0,4,0,217,55,45,50,45,65,80,0,0,0,0,0,2
189,jumpluff,189,,8,30,207,263,1,jumpluff,2,188,92,2,6,3,4,45,70,0,20,0,4,0,218,75,55,70,55,95,110,0,0,0,0,0,3
190,aipom,190,,8,115,72,264,1,aipom,2,,93,7,6,2,4,45,70,0,20,1,3,0,219,55,70,55,40,55,85,0,0,0,0,0,1
191,sunkern,191,,3,18,36,266,1,sunkern,2,,94,10,1,3,4,235,70,0,20,0,4,0,221,30,30,30,30,30,30,0,0,0,1,0,0
192,sunflora,192,,8,85,149,267,1,sunflora,2,191,94,10,12,3,4,120,70,0,20,0,4,0,222,75,75,55,105,85,30,0,0,0,2,0,0
193,yanma,193,,12,380,78,268,1,yanma,2,,95,8,13,2,4,75,70,0,20,0,2,0,223,65,65,45,75,45,95,0,0,0,0,0,1
194,wooper,194,,4,85,42,270,1,wooper,2,,96,2,7,9,4,255,70,0,20,1,2,0,225,55,45,45,25,25,15,1,0,0,0,0,0
195,quagsire,195,,14,750,151,271,1,quagsire,2,194,96,2,6,9,4,90,70,0,20,1,2,0,226,95,85,85,65,65,35,2,0,0,0,0,0
198,murkrow,198,,5,21,81,272,1,murkrow,2,,97,1,9,2,4,30,35,0,20,1,4,0,227,60,85,42,85,42,91,0,0,0,0,0,1
200,misdreavus,200,,7,10,87,274,1,misdreavus,2,,98,4,1,1,4,45,35,0,25,0,3,0,229,60,60,60,85,85,85,0,0,0,0,1,0
201,unown,201,,5,50,118,276,1,unown,2,,99,1,1,5,-1,225,70,0,40,0,2,0,231,48,72,48,72,48,48,0,1,0,1,0,0
202,wobbuffet,202,,13,285,142,278,1,wobbuffet,2,360,100,2,5,1,4,45,70,0,20,1,2,0,233,190,33,58,33,58,33,2,0,0,0,0,0
203,girafarig,203,,15,415,159,279,1,girafarig,2,,101,10,8,3,4,60,70,0,20,1,2,0,234,70,80,65,90,65,85,0,0,0,2,0,0
204,pineco,204,,6,72,58,280,1,pineco,2,,102,4,1,2,4,190,70,0,20,0,2,0,235,50,65,90,35,35,15,0,0,1,0,0,0
205,forretress,205,,12,1258,163,281,1,forretress,2,204,102,7,1,2,4,75,70,0,20,0,2,0,236,75,90,140,60,60,40,0,0,2,0,0,0
206,dunsparce,206,,15,140,145,282,1,dunsparce,2,,103,10,2,1,4,190,70,0,20,0,2,0,237,100,70,70,65,65,45,1,0,0,0,0,0
207,gligar,207,,11,648,86,283,1,gligar,2,,104,7,9,4,4,60,70,0,20,1,4,0,238,65,75,105,35,65,85,0,0,1,0,0,0
209,snubbull,209,,6,78,60,285,1,snubbull,2,,105,6,12,8,6,190,70,0,20,0,3,0,240,60,80,50,40,40,30,0,1,0,0,0,0
210,granbull,210,,14,487,158,286,1,granbull,2,209,105,7,6,8,6,75,70,0,20,0,3,0,241,90,120,75,60,60,45,0,2,0,0,0,0
211,qwilfish,211,,5,39,88,287,1,qwilfish,2,,106,4,3,7,4,45,70,0,20,0,2,0,242,65,95,85,55,55,85,0,1,0,0,0,0
213,shuckle,213,,6,205,177,288,1,shuckle,2,,107,10,14,4,4,190,70,0,20,0,4,0,243,20,10,230,10,230,5,0,0,1,0,1,0
214,heracross,214,,15,540,175,289,1,heracross,2,,108,2,12,2,4,45,70,0,25,1,1,1,244,80,125,75,40,95,85,0,2,0,0,0,0
10047,heracross-mega,214,,17,625,210,290,0,heracross,2,,108,2,12,2,4,45,70,0,25,1,1,1,244,80,185,115,40,105,75,0,2,0,0,0,0
215,sneasel,215,,9,280,86,291,1,sneasel,2,,109,1,6,2,4,60,35,0,20,1,4,0,245,55,95,55,35,75,115,0,0,0,0,0,1
216,teddiursa,216,,6,88,66,293,1,teddiursa,2,,110,3,6,4,4,120,70,0,20,0,2,0,247,60,80,50,50,50,40,0,1,0,0,0,0
217,ursaring,217,,18,1258,175,294,1,ursaring,2,216,110,3,6,4,4,60,70,0,20,1,2,0,248,90,130,75,75,75,55,0,2,0,0,0,0
218,slugma,218,,7,350,50,295,1,slugma,2,,111,8,2,4,4,190,70,0,20,0,2,0,249,40,40,40,70,40,20,0,0,0,1,0,0
219,magcargo,219,,8,550,151,296,1,magcargo,2,218,111,8,2,4,4,75,70,0,20,0,2,0,250,60,50,120,90,80,30,0,0,2,0,0,0
220,swinub,220,,4,65,50,297,1,swinub,2,,112,3,8,1,4,225,70,0,20,0,1,0,251,50,50,40,30,30,50,0,1,0,0,0,0
221,piloswine,221,,11,558,158,298,1,piloswine,2,220,112,3,8,1,4,75,70,0,20,1,1,0,252,100,100,80,60,60,50,1,1,0,0,0,0
222,corsola,222,,6,50,144,300,1,corsola,2,,113,6,14,7,6,60,70,0,20,0,3,0,254,65,55,95,65,95,35,0,0,1,0,1,0
223,remoraid,223,,6,120,60,301,1,remoraid,2,,114,4,3,7,4,190,70,0,20,0,2,0,255,35,65,35,65,35,65,0,0,0,1,0,0
224,octillery,224,,9,285,168,302,1,octillery,2,223,114,8,10,7,4,75,70,0,20,1,2,0,256,75,105,75,105,75,45,0,1,0,1,0,0
225,delibird,225,,9,160,116,303,1,delibird,2,,115,8,9,4,4,45,70,0,20,0,3,0,257,45,55,45,65,45,75,0,0,0,0,0,1
226,mantine,226,,21,2200,170,305,1,mantine,2,458,116,7,9,7,4,25,70,0,25,0,1,0,259,85,40,70,80,140,70,0,0,0,0,2,0
227,skarmory,227,,17,505,163,306,1,skarmory,2,,117,4,9,6,4,25,70,0,25,0,1,0,260,65,80,140,40,70,70,0,0,2,0,0,0
228,houndour,228,,6,108,66,307,1,houndour,2,,118,1,8,6,4,120,35,0,20,0,1,0,261,45,60,30,80,50,65,0,0,0,1,0,0
229,houndoom,229,,14,350,175,308,1,houndoom,2,228,118,1,8,6,4,45,35,0,20,1,1,1,262,75,90,50,110,80,95,0,0,0,2,0,0
10048,houndoom-mega,229,,19,495,210,309,0,houndoom,2,228,118,1,8,6,4,45,35,0,20,1,1,1,262,75,90,90,140,90,115,0,0,0,2,0,0
231,phanpy,231,,5,335,66,310,1,phanpy,2,,119,2,8,6,4,120,70,0,20,0,2,0,263,90,60,60,40,40,40,1,0,0,0,0,0
232,donphan,232,,11,1200,175,311,1,donphan,2,231,119,4,8,6,4,60,70,0,20,1,2,0,264,90,120,120,60,60,50,0,1,1,0,0,0
234,stantler,234,,14,712,163,312,1,stantler,2,,120,3,8,2,4,45,70,0,20,0,1,0,265,73,95,62,85,65,85,0,1,0,0,0,0
235,smeargle,235,,12,580,88,313,1,smeargle,2,,121,9,6,8,4,45,70,0,20,0,3,0,266,55,20,35,20,45,75,0,0,0,0,0,1
241,miltank,241,,12,755,172,314,1,miltank,2,,122,6,6,3,8,45,70,0,20,0,1,0,267,95,80,105,40,70,100,0,0,2,0,0,0
243,raikou,243,,19,1780,261,315,1,raikou,2,,123,10,8,3,-1,3,35,0,80,0,1,0,268,90,85,75,115,100,115,0,0,0,1,0,2
244,entei,244,,21,1980,261,316,1,entei,2,,124,3,8,3,-1,3,35,0,80,0,1,0,269,115,115,85,90,75,100,1,2,0,0,0,0
245,suicune,245,,20,1870,261,317,1,suicune,2,,125,2,8,3,-1,3,35,0,80,0,1,0,270,100,75,115,90,115,85,0,0,1,0,2,0
246,larvitar,246,,6,720,60,318,1,larvitar,2,,126,5,6,4,4,45,35,0,40,0,1,0,271,50,64,50,45,50,41,0,1,0,0,0,0
247,pupitar,247,,12,1520,144,319,1,pupitar,2,246,126,4,2,4,4,45,35,0,40,0,1,0,272,70,84,70,65,70,51,0,2,0,0,0,0
248,tyranitar,248,,20,2020,270,320,1,tyranitar,2,247,126,5,6,4,4,45,35,0,40,0,1,1,273,100,134,110,95,100,61,0,3,0,0,0,0
10049,tyranitar-mega,248,,25,2550,315,321,0,tyranitar,2,247,126,5,6,4,4,45,35,0,40,0,1,1,273,100,164,150,95,120,71,0,3,0,0,0,0
249,lugia,249,,52,2160,306,322,1,lugia,2,,127,9,9,5,-1,3,0,0,120,0,1,0,274,106,90,130,90,154,110,0,0,0,0,3,0
250,ho-oh,250,,38,1990,306,323,1,ho-oh,2,,128,8,9,5,-1,3,0,0,120,0,1,0,275,106,130,90,110,154,90,0,0,0,0,3,0
251,celebi,251,,6,50,270,324,1,celebi,2,,129,5,12,2,-1,45,100,0,120,0,4,0,276,100,100,100,100,100,100,3,0,0,0,0,0
298,azurill,298,,2,20,38,256,1,azurill,3,,90,2,7,9,6,150,70,1,10,0,3,0,211,50,20,40,20,40,20,1,0,0,0,0,0
360,wynaut,360,,6,140,52,277,1,wynaut,3,,100,2,6,1,4,125,70,1,20,0,2,0,232,95,23,48,23,48,23,1,0,0,0,0,0
252,treecko,252,,5,50,62,325,1,treecko,3,,130,5,6,2,1,45,70,0,20,0,4,0,277,40,45,35,65,55,70,0,0,0,0,0,1
253,grovyle,253,,9,216,142,326,1,grovyle,3,252,130,5,6,2,1,45,70,0,20,0,4,0,278,50,65,45,85,65,95,0,0,0,0,0,2
254,sceptile,254,,17,522,239,327,1,sceptile,3,253,130,5,6,2,1,45,70,0,20,0,4,1,279,70,85,65,105,85,120,0,0,0,0,0,3
10065,sceptile-mega,254,,19,552,284,328,0,sceptile,3,253,130,5,6,2,1,45,70,0,20,0,4,1,279,70,110,75,145,85,145,0,0,0,0,0,3
255,torchic,255,,4,25,62,329,1,torchic,3,,131,8,7,3,1,45,70,0,20,1,4,0,280,45,60,40,70,50,45,0,0,0,1,0,0
256,combusken,256,,9,195,142,330,1,combusken,3,255,131,8,6,3,1,45,70,0,20,1,4,0,281,60,85,60,85,60,55,0,1,0,1,0,0
257,blaziken,257,,19,520,239,331,1,blaziken,3,256,131,8,6,3,1,45,70,0,20,1,4,1,282,80,120,70,110,70,80,0,3,0,0,0,0
10050,blaziken-mega,257,,19,520,284,332,0,blaziken,3,256,131,8,6,3,1,45,70,0,20,1,4,1,282,80,160,80,130,80,100,0,3,0,0,0,0
258,mudkip,258,,4,76,62,333,1,mudkip,3,,132,2,8,9,1,45,70,0,20,0,4,0,283,50,70,50,50,50,40,0,1,0,0,0,0
259,marshtomp,259,,7,280,142,334,1,marshtomp,3,258,132,2,6,9,1,45,70,0,20,0,4,0,284,70,85,70,60,70,50,0,2,0,0,0,0
260,swampert,260,,15,819,241,335,1,swampert,3,259,132,2,6,9,1,45,70,0,20,0,4,1,285,100,110,90,85,90,60,0,3,0,0,0,0
10064,swampert-mega,260,,19,1020,286,336,0,swampert,3,259,132,2,6,9,1,45,70,0,20,0,4,1,285,100,150,110,95,110,70,0,3,0,0,0,0
261,poochyena,261,,5,136,56,337,1,poochyena,3,,133,4,8,3,4,255,70,0,15,0,2,0,286,35,55,35,30,30,35,0,1,0,0,0,0
262,mightyena,262,,10,370,147,338,1,mightyena,3,261,133,4,8,3,4,127,70,0,15,0,2,0,287,70,90,70,60,60,70,0,2,0,0,0,0
263,zigzagoon,263,,4,175,56,339,1,zigzagoon,3,,134,3,8,3,4,255,70,0,15,0,2,0,288,38,30,41,30,41,60,0,0,0,0,0,1
264,linoone,264,,5,325,147,340,1,linoone,3,263,134,9,8,3,4,90,70,0,15,0,2,0,289,78,70,61,50,61,100,0,0,0,0,0,2
265,wurmple,265,,3,36,56,341,1,wurmple,3,,135,8,14,2,4,255,70,0,15,0,2,0,290,45,45,35,20,30,20,1,0,0,0,0,0
266,silcoon,266,,6,100,72,342,1,silcoon,3,265,135,9,1,2,4,120,70,0,15,0,2,0,291,50,35,55,25,25,15,0,0,2,0,0,0
267,beautifly,267,,10,284,178,343,1,beautifly,3,266,135,10,13,2,4,45,70,0,15,1,2,0,292,60,70,50,100,50,65,0,0,0,3,0,0
268,cascoon,268,,7,115,72,344,1,cascoon,3,265,135,7,1,2,4,120,70,0,15,0,2,0,293,50,35,55,25,25,15,0,0,2,0,0,0
269,dustox,269,,12,316,173,345,1,dustox,3,268,135,5,13,2,4,45,70,0,15,1,2,0,294,60,50,70,50,90,65,0,0,0,0,3,0
270,lotad,270,,5,26,44,346,1,lotad,3,,136,5,14,9,4,255,70,0,15,0,4,0,295,40,30,30,40,50,30,0,0,0,0,1,0
271,lombre,271,,12,325,119,347,1,lombre,3,270,136,5,12,9,4,120,70,0,15,0,4,0,296,60,50,50,60,70,50,0,0,0,0,2,0
272,ludicolo,272,,15,550,216,348,1,ludicolo,3,271,136,5,12,9,4,45,70,0,15,1,4,0,297,80,70,70,90,100,70,0,0,0,0,3,0
273,seedot,273,,5,40,44,349,1,seedot,3,,137,3,7,2,4,255,70,0,15,0,4,0,298,40,40,50,30,30,30,0,0,1,0,0,0
274,nuzleaf,274,,10,280,119,350,1,nuzleaf,3,273,137,3,12,2,4,120,70,0,15,1,4,0,299,70,70,40,60,40,60,0,2,0,0,0,0
275,shiftry,275,,13,596,216,351,1,shiftry,3,274,137,3,12,2,4,45,70,0,15,1,4,0,300,90,100,60,90,60,80,0,3,0,0,0,0
276,taillow,276,,3,23,54,352,1,taillow,3,,138,2,9,3,4,200,70,0,15,0,4,0,301,40,55,30,30,30,85,0,0,0,0,0,1
277,swellow,277,,7,198,159,353,1,swellow,3,276,138,2,9,3,4,45,70,0,15,0,4,0,302,60,85,60,75,50,125,0,0,0,0,0,2
278,wingull,278,,6,95,54,354,1,wingull,3,,139,9,9,7,4,190,70,0,20,0,2,0,303,40,30,30,55,30,85,0,0,0,0,0,1
279,pelipper,279,,12,280,154,355,1,pelipper,3,278,139,10,9,7,4,45,70,0,20,0,2,0,304,60,50,100,95,70,65,0,0,2,0,0,0
280,ralts,280,,4,66,40,356,1,ralts,3,,140,9,12,8,4,235,35,0,20,0,1,0,305,28,25,25,45,35,40,0,0,0,1,0,0
281,kirlia,281,,8,202,97,357,1,kirlia,3,280,140,9,12,8,4,120,35,0,20,0,1,0,306,38,35,35,65,55,50,0,0,0,2,0,0
282,gardevoir,282,,16,484,233,358,1,gardevoir,3,281,140,9,12,8,4,45,35,0,20,0,1,1,307,68,65,65,125,115,80,0,0,0,3,0,0
10051,gardevoir-mega,282,,16,484,278,359,0,gardevoir,3,281,140,9,12,8,4,45,35,0,20,0,1,1,307,68,85,65,165,135,100,0,0,0,3,0,0
283,surskit,283,,5,17,54,362,1,surskit,3,,141,2,14,9,4,200,70,0,15,0,2,0,309,40,30,32,50,52,65,0,0,0,0,0,1
